"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"prep for halloween with a hauntingly delicious sip of the Mandala Dia De Muertos limited edition bottle 🌕🎃","Agave Amigos","agave.amigos","https://www.instagram.com/p/DBFzmcnv1Ud/","0","","48","2024-10-14T04:13:11.000Z",
"Tequila Tuesdays with Mandala ✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/C-mS1sGTviw/","0","","67","2024-08-13T05:27:40.000Z",
"Experience the smoky taste of our Mezcal bottles without breaking the bank. Perfect for mixing, sipping, or sharing 🌵🥃","Agave Amigos","agave.amigos","https://www.instagram.com/p/C_Pk8h1Ts40/","0","","13","2024-08-29T06:14:45.000Z",
"Chula Parranda ceramic bottles are here, and they’re as fun as your next fiesta. 🎉 DM us for price inquiries! 🤠","Agave Amigos","agave.amigos","https://www.instagram.com/p/C_CXXCdzKLn/","7","how much and height of bottles","64","2024-08-24T03:05:54.000Z",
"✨ Mandala Reposado ✨

Aged in Sherry Cask barrels with taste of oak notes and cooked agave. 

Mandala bottles also available in Blanco, Anejo and Extra Anejo. DM for orders and inquiries 💛","Agave Amigos","agave.amigos","https://www.instagram.com/p/C8tf6DCOt13/","0","","26","2024-06-27T07:33:45.000Z",
"Featuring the Clase Azul Gold with taste notes of toasted wood, green olive and cocoa/dark chocolate 🖤","Agave Amigos","agave.amigos","https://www.instagram.com/p/C1AINbqv1Ai/","0","","47","2023-12-18T17:01:06.000Z",
"Which have you yet to discover? 

From left to right: Guerrero, Plata, Gold, Durango, Reposado","Agave Amigos","agave.amigos","https://www.instagram.com/p/C16fuHBv1zg/","3","@adjiedu","114","2024-01-10T09:02:29.000Z",
"get ready for the holidays with our Clase Azul Reposado! 🎄 DM for orders and inquiries ✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/C0LGl9gvrsp/","5","Hm","116","2023-11-28T02:47:13.000Z",
"New sips on the block 🚨 Introducing our Casamigos collection (from left to right: Blanco, Reposado, Añejo)

Available for same day delivery! DM for orders & inquiries 😊","Agave Amigos","agave.amigos","https://www.instagram.com/p/C2bjlaEPHOq/","0","","117","2024-01-23T05:11:11.000Z",
"Durango at it’s finest 👀","Agave Amigos","agave.amigos","https://www.instagram.com/p/CzleFXqvFIb/","0","","42","2023-11-13T12:01:21.000Z",
"fantastic four","Agave Amigos","agave.amigos","https://www.instagram.com/p/Cy28G-ePI5S/","9","@yokjoaquin","149","2023-10-26T10:19:24.000Z",
"Clase Azul Plata up close 👀✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/C0gcnRaPdGm/","0","","55","2023-12-06T09:43:41.000Z",
